
2023/12/31 (11:29:13) | ===> btop++ v.1.3.0
2023/12/31 (11:29:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/01 (01:16:44) | ===> btop++ v.1.3.0
2024/01/01 (01:16:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/01 (01:21:37) | ===> btop++ v.1.3.0
2024/01/01 (01:21:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/01 (01:24:29) | ===> btop++ v.1.3.0
2024/01/01 (01:24:29) | INFO: Logger set to DEBUG
2024/01/01 (01:24:29) | DEBUG: Using locale en_US.UTF-8
2024/01/01 (01:24:29) | INFO: Running on /dev/pts/2
2024/01/01 (01:24:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/01 (01:24:31) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/01 (01:24:31) | DEBUG: Shared::init() : Initialized.

2024/01/01 (01:25:05) | ===> btop++ v.1.3.0
2024/01/01 (01:25:05) | INFO: Logger set to DEBUG
2024/01/01 (01:25:05) | DEBUG: Using locale en_US.UTF-8
2024/01/01 (01:25:05) | INFO: Running on /dev/pts/2
2024/01/01 (01:25:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/01 (01:25:05) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/01 (01:25:05) | DEBUG: Shared::init() : Initialized.

2024/01/01 (01:25:14) | ===> btop++ v.1.3.0
2024/01/01 (01:25:14) | INFO: Logger set to DEBUG
2024/01/01 (01:25:14) | DEBUG: Using locale en_US.UTF-8
2024/01/01 (01:25:14) | INFO: Running on /dev/pts/2
2024/01/01 (01:25:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/01 (01:25:14) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/01 (01:25:14) | DEBUG: Shared::init() : Initialized.

2024/01/01 (01:25:57) | ===> btop++ v.1.3.0
2024/01/01 (01:25:57) | INFO: Logger set to DEBUG
2024/01/01 (01:25:57) | DEBUG: Using locale en_US.UTF-8
2024/01/01 (01:25:57) | INFO: Running on /dev/pts/2
2024/01/01 (01:25:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/01 (01:25:57) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/01 (01:25:57) | DEBUG: Shared::init() : Initialized.

2024/01/01 (01:27:02) | ===> btop++ v.1.3.0
2024/01/01 (01:27:02) | INFO: Logger set to DEBUG
2024/01/01 (01:27:02) | DEBUG: Using locale en_US.UTF-8
2024/01/01 (01:27:02) | INFO: Running on /dev/pts/3
2024/01/01 (01:27:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/01 (01:27:03) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/01 (01:27:03) | DEBUG: Shared::init() : Initialized.

2024/01/01 (11:29:45) | ===> btop++ v.1.3.0
2024/01/01 (11:29:45) | INFO: Logger set to DEBUG
2024/01/01 (11:29:45) | DEBUG: Using locale en_US.UTF-8
2024/01/01 (11:29:45) | INFO: Running on /dev/pts/6
2024/01/01 (11:29:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/01 (11:29:46) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/01 (11:29:46) | DEBUG: Shared::init() : Initialized.

2024/01/01 (18:43:15) | ===> btop++ v.1.3.0
2024/01/01 (18:43:15) | INFO: Logger set to DEBUG
2024/01/01 (18:43:15) | DEBUG: Using locale en_US.UTF-8
2024/01/01 (18:43:15) | INFO: Running on /dev/pts/1
2024/01/01 (18:43:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/01 (18:43:16) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/01 (18:43:16) | DEBUG: Shared::init() : Initialized.

2024/01/02 (01:13:14) | ===> btop++ v.1.3.0
2024/01/02 (01:13:14) | INFO: Logger set to DEBUG
2024/01/02 (01:13:14) | DEBUG: Using locale en_US.UTF-8
2024/01/02 (01:13:14) | INFO: Running on /dev/pts/3
2024/01/02 (01:13:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/02 (01:13:16) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/02 (01:13:16) | DEBUG: Shared::init() : Initialized.
2024/01/02 (01:13:54) | DEBUG: Writing new config file
2024/01/02 (01:13:54) | INFO: Quitting! Runtime: 00:00:40

2024/01/02 (22:30:26) | ===> btop++ v.1.3.0
2024/01/02 (22:30:26) | INFO: Logger set to DEBUG
2024/01/02 (22:30:26) | DEBUG: Using locale en_US.UTF-8
2024/01/02 (22:30:26) | INFO: Running on /dev/pts/2
2024/01/02 (22:30:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/02 (22:30:27) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/02 (22:30:27) | DEBUG: Shared::init() : Initialized.

2024/01/02 (22:30:38) | ===> btop++ v.1.3.0
2024/01/02 (22:30:38) | INFO: Logger set to DEBUG
2024/01/02 (22:30:38) | DEBUG: Using locale en_US.UTF-8
2024/01/02 (22:30:38) | INFO: Running on /dev/pts/2
2024/01/02 (22:30:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/02 (22:30:38) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/02 (22:30:38) | DEBUG: Shared::init() : Initialized.

2024/01/02 (22:30:51) | ===> btop++ v.1.3.0
2024/01/02 (22:30:51) | INFO: Logger set to DEBUG
2024/01/02 (22:30:51) | DEBUG: Using locale en_US.UTF-8
2024/01/02 (22:30:51) | INFO: Running on /dev/pts/2
2024/01/02 (22:30:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/02 (22:30:51) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/02 (22:30:51) | DEBUG: Shared::init() : Initialized.

2024/01/02 (22:31:20) | ===> btop++ v.1.3.0
2024/01/02 (22:31:20) | INFO: Logger set to DEBUG
2024/01/02 (22:31:20) | DEBUG: Using locale en_US.UTF-8
2024/01/02 (22:31:20) | INFO: Running on /dev/pts/0
2024/01/02 (22:31:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/02 (22:31:21) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/02 (22:31:21) | DEBUG: Shared::init() : Initialized.

2024/01/03 (00:05:02) | ===> btop++ v.1.3.0
2024/01/03 (00:05:02) | INFO: Logger set to DEBUG
2024/01/03 (00:05:02) | DEBUG: Using locale en_US.UTF-8
2024/01/03 (00:05:02) | INFO: Running on /dev/pts/3
2024/01/03 (00:05:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/03 (00:05:03) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.1.0: cannot open shared object file: No such file or directory
2024/01/03 (00:05:03) | DEBUG: Shared::init() : Initialized.

